,IA_LABEL,IA_ID,IA_LEFT,IA_TOP,batch,article_id,paragraph_id,level,RECORDING_SESSION_LABEL,TRIAL_INDEX,trial,list,has_preview,article_ind
211,French-Canadian,49,358,492,3,7,4,Adv,l5_332,49,46,5,0,9
212,brand-new,19,358,264,3,7,5,Adv,l5_332,50,47,5,0,9
213,e-bicycles,65,358,606,3,6,3,Adv,l5_332,55,52,5,0,10
214,three-square-meter,68,358,606,3,9,1,Adv,l12_345,3,3,12,0,1
215,e-bicycles,65,358,606,3,6,3,Adv,l11_344,11,10,11,0,2
216,three-square-meter,54,358,492,3,9,1,Ele,l11_344,42,40,11,0,8
217,French-Canadian,49,358,492,3,7,4,Adv,l11_344,49,47,11,0,9
218,brand-new,19,358,264,3,7,5,Adv,l11_344,50,48,11,0,9
219,"open-minded,",83,358,720,3,10,5,Ele,l11_344,57,55,11,0,10
220,three-square-meter,54,358,492,3,9,1,Ele,l9_340,3,3,9,0,1
221,French-Canadian,49,358,492,3,7,4,Adv,l9_340,37,29,9,0,6
222,brand-new,19,358,264,3,7,5,Adv,l9_340,39,30,9,0,6
223,e-bicycles,65,358,606,3,6,3,Adv,l9_340,44,35,9,0,7
224,"open-minded,",83,358,720,3,10,5,Ele,l9_340,54,44,9,0,8
225,three-square-meter,68,358,606,3,9,1,Adv,l32_390,25,20,32,0,4
226,three-square-meter,54,358,492,3,9,1,Ele,l19_365,13,13,19,0,3
227,e-bicycles,65,358,606,3,6,3,Adv,l19_365,20,19,19,0,4
228,"open-minded,",83,358,720,3,10,5,Ele,l19_365,35,28,19,0,5
229,French-Canadian,49,358,492,3,7,4,Adv,l19_365,65,53,19,0,10
230,brand-new,19,358,264,3,7,5,Adv,l19_365,67,54,19,0,10
231,three-square-meter,68,358,606,3,9,1,Adv,l28_380,9,8,28,0,2
232,e-bicycles,65,358,606,3,6,3,Adv,l27_378,12,11,27,0,2
233,"open-minded,",83,358,720,3,10,5,Ele,l27_378,21,20,27,0,3
234,French-Canadian,49,358,492,3,7,4,Adv,l27_378,31,29,27,0,5
235,brand-new,19,358,264,3,7,5,Adv,l27_378,32,30,27,0,5
236,three-square-meter,54,358,492,3,9,1,Ele,l27_378,40,38,27,0,7
237,three-square-meter,68,358,606,3,9,1,Adv,l8_339,26,25,8,0,5
238,three-square-meter,54,358,492,3,9,1,Ele,l7_336,3,3,7,0,1
239,e-bicycles,65,358,606,3,6,3,Adv,l7_336,15,14,7,0,3
240,"open-minded,",83,358,720,3,10,5,Ele,l7_336,24,23,7,0,4
241,French-Canadian,49,358,492,3,7,4,Adv,l7_336,50,49,7,0,9
242,brand-new,19,358,264,3,7,5,Adv,l7_336,51,50,7,0,9
243,three-square-meter,54,358,492,3,9,1,Ele,l23_368,9,8,23,0,2
244,"open-minded,",83,358,720,3,10,5,Ele,l23_368,31,27,23,0,5
245,e-bicycles,65,358,606,3,6,3,Adv,l23_368,36,31,23,0,6
246,French-Canadian,49,358,492,3,7,4,Adv,l23_368,48,39,23,0,7
247,brand-new,19,358,264,3,7,5,Adv,l23_368,49,40,23,0,7
248,three-square-meter,68,358,606,3,9,1,Adv,l10_341,10,9,10,0,2
249,three-square-meter,68,358,606,3,9,1,Adv,l4_331,3,3,4,0,1
250,three-square-meter,54,358,492,3,9,1,Ele,l21_366,12,8,21,0,2
251,e-bicycles,65,358,606,3,6,3,Adv,l21_366,25,19,21,0,4
252,French-Canadian,49,358,492,3,7,4,Adv,l21_366,46,38,21,0,7
253,brand-new,19,358,264,3,7,5,Adv,l21_366,47,39,21,0,7
254,"open-minded,",83,358,720,3,10,5,Ele,l21_366,55,46,21,0,8
255,three-square-meter,68,358,606,3,9,1,Adv,l22_367,12,10,22,0,2
256,French-Canadian,49,358,492,3,7,4,Adv,l13_348,14,11,13,0,2
257,brand-new,19,358,264,3,7,5,Adv,l13_348,15,12,13,0,2
258,three-square-meter,54,358,492,3,9,1,Ele,l13_348,24,20,13,0,4
259,"open-minded,",83,358,720,3,10,5,Ele,l13_348,46,34,13,0,6
260,e-bicycles,65,358,606,3,6,3,Adv,l13_348,51,38,13,0,7
261,French-Canadian,49,358,492,3,7,4,Adv,l25_373,12,11,25,0,2
262,brand-new,19,358,264,3,7,5,Adv,l25_373,13,12,25,0,2
263,e-bicycles,65,358,606,3,6,3,Adv,l25_373,39,37,25,0,7
264,"open-minded,",83,358,720,3,10,5,Ele,l25_373,48,46,25,0,8
265,three-square-meter,54,358,492,3,9,1,Ele,l25_373,55,53,25,0,10
266,three-square-meter,68,358,606,3,9,1,Adv,l26_375,32,31,26,0,6
267,e-bicycles,65,358,606,3,6,3,Adv,l31_388,6,5,31,0,1
268,French-Canadian,49,358,492,3,7,4,Adv,l31_388,26,22,31,0,4
269,brand-new,19,358,264,3,7,5,Adv,l31_388,27,23,31,0,4
270,"open-minded,",83,358,720,3,10,5,Ele,l31_388,42,36,31,0,6
271,three-square-meter,54,358,492,3,9,1,Ele,l31_388,56,48,31,0,9
272,three-square-meter,68,358,606,3,9,1,Adv,l24_372,8,8,24,0,2
273,three-square-meter,68,358,606,3,9,1,Adv,l30_386,4,3,30,0,1
274,French-Canadian,49,358,492,3,7,4,Adv,l3_327,7,6,3,0,1
275,brand-new,19,358,264,3,7,5,Adv,l3_327,8,7,3,0,1
276,e-bicycles,65,358,606,3,6,3,Adv,l3_327,13,12,3,0,2
277,three-square-meter,54,358,492,3,9,1,Ele,l3_327,42,37,3,0,7
278,"open-minded,",83,358,720,3,10,5,Ele,l3_327,50,45,3,0,8
279,three-square-meter,68,358,606,3,9,1,Adv,l6_329,61,53,6,0,10
280,e-bicycles,65,358,606,3,6,3,Adv,l1_322,15,15,1,0,3
281,three-square-meter,54,358,492,3,9,1,Ele,l1_322,20,20,1,0,4
282,French-Canadian,49,358,492,3,7,4,Adv,l1_322,27,27,1,0,5
283,brand-new,19,358,264,3,7,5,Adv,l1_322,28,28,1,0,5
284,"open-minded,",83,358,720,3,10,5,Ele,l1_322,35,35,1,0,6
285,three-square-meter,68,358,606,3,9,1,Adv,l2_324,62,53,2,0,10
