,IA_LABEL,IA_ID,IA_LEFT,IA_TOP,batch,article_id,paragraph_id,level,RECORDING_SESSION_LABEL,TRIAL_INDEX,trial,list,has_preview,article_ind
356,film-makers.,16,358,264,2,8,6,Adv,l51_475,43,41,51,0,7
357,post-genocide,32,358,378,2,8,6,Adv,l51_475,43,41,51,0,7
358,film-editing,95,358,834,2,8,6,Adv,l51_475,43,41,51,0,7
359,three-square-meter,77,358,606,3,9,1,Adv,l56_438,21,20,56,0,4
360,Seven-year-old,87,358,834,3,9,3,Adv,l56_438,23,22,56,0,4
361,"open-minded,",83,358,720,3,10,5,Ele,l55_437,7,7,55,0,1
362,three-square-meter,63,358,492,3,9,1,Ele,l55_437,9,9,55,0,2
363,al-Mamun.,31,358,378,3,9,3,Ele,l55_437,11,11,55,0,2
364,el-Haite,109,358,948,3,1,3,Adv,l55_437,15,15,55,0,3
365,100-seat,92,358,834,3,3,4,Adv,l55_437,25,21,55,0,4
366,el-Haite,109,358,948,3,1,3,Adv,L41_408,32,32,41,0,6
367,100-seat,92,358,834,3,3,4,Adv,L41_408,38,38,41,0,7
368,"open-minded,",83,358,720,3,10,5,Ele,L41_408,44,44,41,0,8
369,three-square-meter,63,358,492,3,9,1,Ele,L41_408,54,53,41,0,10
370,al-Mamun.,31,358,378,3,9,3,Ele,L41_408,56,55,41,0,10
371,three-square-meter,77,358,606,3,9,1,Adv,l18_449,12,10,18,0,2
372,Seven-year-old,87,358,834,3,9,3,Adv,l18_449,14,12,18,0,2
373,"open-minded,",83,358,720,3,10,5,Ele,l35_399,19,14,35,0,2
374,100-seat,92,358,834,3,3,4,Adv,l35_399,24,19,35,0,3
375,three-square-meter,63,358,492,3,9,1,Ele,l35_399,26,21,35,0,4
376,al-Mamun.,31,358,378,3,9,3,Ele,l35_399,28,23,35,0,4
377,el-Haite,109,358,948,3,1,3,Adv,l35_399,51,43,35,0,8
378,three-square-meter,77,358,606,3,9,1,Adv,l34_398,13,13,34,0,3
379,Seven-year-old,87,358,834,3,9,3,Adv,l34_398,15,15,34,0,3
380,el-Haite,109,358,948,3,1,3,Adv,l57_463,11,10,57,0,2
381,"open-minded,",83,358,720,3,10,5,Ele,l57_463,20,17,57,0,3
382,three-square-meter,63,358,492,3,9,1,Ele,l57_463,39,35,57,0,7
383,al-Mamun.,31,358,378,3,9,3,Ele,l57_463,41,37,57,0,7
384,100-seat,92,358,834,3,3,4,Adv,l57_463,55,48,57,0,9
385,three-square-meter,77,358,606,3,9,1,Adv,l48_421,30,30,48,0,6
386,Seven-year-old,87,358,834,3,9,3,Adv,l48_421,32,32,48,0,6
387,three-square-meter,77,358,606,3,9,1,Adv,l38_402,46,43,38,0,8
388,Seven-year-old,87,358,834,3,9,3,Adv,l38_402,48,45,38,0,8
389,three-square-meter,77,358,606,3,9,1,Adv,l52_430,16,16,52,0,3
390,Seven-year-old,87,358,834,3,9,3,Adv,l52_430,21,18,52,0,3
391,"open-minded,",83,358,720,3,10,5,Ele,l39_404,22,17,39,0,3
392,el-Haite,109,358,948,3,1,3,Adv,l39_404,33,27,39,0,5
393,100-seat,92,358,834,3,3,4,Adv,l39_404,46,40,39,0,7
394,three-square-meter,63,358,492,3,9,1,Ele,l39_404,59,53,39,0,10
395,al-Mamun.,31,358,378,3,9,3,Ele,l39_404,61,55,39,0,10
396,100-seat,92,358,834,3,3,4,Adv,l45_415,18,18,45,0,3
397,"open-minded,",83,358,720,3,10,5,Ele,l45_415,24,24,45,0,4
398,three-square-meter,63,358,492,3,9,1,Ele,l45_415,31,31,45,0,6
399,al-Mamun.,31,358,378,3,9,3,Ele,l45_415,33,33,45,0,6
400,el-Haite,109,358,948,3,1,3,Adv,l45_415,47,47,45,0,9
401,100-seat,92,358,834,3,3,4,Adv,l37_401,37,35,37,0,6
402,el-Haite,109,358,948,3,1,3,Adv,l37_401,47,44,37,0,8
403,three-square-meter,63,358,492,3,9,1,Ele,l37_401,50,47,37,0,9
404,al-Mamun.,31,358,378,3,9,3,Ele,l37_401,52,49,37,0,9
405,"open-minded,",83,358,720,3,10,5,Ele,l37_401,58,55,37,0,10
406,three-square-meter,77,358,606,3,9,1,Adv,l36_400,54,39,36,0,7
407,Seven-year-old,87,358,834,3,9,3,Adv,l36_400,57,41,36,0,7
408,three-square-meter,77,358,606,3,9,1,Adv,l50_425,10,7,50,0,2
409,Seven-year-old,87,358,834,3,9,3,Adv,l50_425,12,9,50,0,2
410,three-square-meter,77,358,606,3,9,1,Adv,l44_414,40,37,44,0,7
411,Seven-year-old,87,358,834,3,9,3,Adv,l44_414,42,39,44,0,7
412,three-square-meter,77,358,606,3,9,1,Adv,l58_466,21,21,58,0,4
413,Seven-year-old,87,358,834,3,9,3,Adv,l58_466,23,23,58,0,4
414,100-seat,92,358,834,3,3,4,Adv,l43_413,13,13,43,0,2
415,"open-minded,",83,358,720,3,10,5,Ele,l43_413,42,42,43,0,7
416,three-square-meter,63,358,492,3,9,1,Ele,l43_413,44,44,43,0,8
417,al-Mamun.,31,358,378,3,9,3,Ele,l43_413,46,46,43,0,8
418,el-Haite,109,358,948,3,1,3,Adv,l43_413,55,54,43,0,10
419,three-square-meter,77,358,606,3,9,1,Adv,l42_459,51,48,42,0,9
420,Seven-year-old,87,358,834,3,9,3,Adv,l42_459,53,50,42,0,9
421,three-square-meter,63,358,492,3,9,1,Ele,l29_454,10,10,29,0,2
422,al-Mamun.,31,358,378,3,9,3,Ele,l29_454,12,12,29,0,2
423,100-seat,92,358,834,3,3,4,Adv,l29_454,22,22,29,0,4
424,el-Haite,109,358,948,3,1,3,Adv,l29_454,33,33,29,0,6
425,"open-minded,",83,358,720,3,10,5,Ele,l29_454,50,50,29,0,9
426,three-square-meter,77,358,606,3,9,1,Adv,l40_458,53,53,40,0,10
427,Seven-year-old,87,358,834,3,9,3,Adv,l40_458,55,55,40,0,10
428,three-square-meter,63,358,492,3,9,1,Ele,l49_424,11,8,49,0,2
429,al-Mamun.,31,358,378,3,9,3,Ele,l49_424,14,10,49,0,2
430,el-Haite,109,358,948,3,1,3,Adv,l49_424,18,14,49,0,3
431,100-seat,92,358,834,3,3,4,Adv,l49_424,31,25,49,0,5
432,"open-minded,",83,358,720,3,10,5,Ele,l49_424,38,31,49,0,6
433,100-seat,92,358,834,3,3,4,Adv,l53_432,25,20,53,0,3
434,el-Haite,109,358,948,3,1,3,Adv,l53_432,30,24,53,0,4
435,three-square-meter,63,358,492,3,9,1,Ele,l53_432,33,27,53,0,5
436,al-Mamun.,31,358,378,3,9,3,Ele,l53_432,36,29,53,0,5
437,"open-minded,",83,358,720,3,10,5,Ele,l53_432,57,44,53,0,8
438,"open-minded,",83,358,720,3,10,5,Ele,l51_429,21,19,51,0,3
439,three-square-meter,63,358,492,3,9,1,Ele,l51_429,43,39,51,0,7
440,al-Mamun.,31,358,378,3,9,3,Ele,l51_429,45,41,51,0,7
441,el-Haite,109,358,948,3,1,3,Adv,l51_429,53,49,51,0,9
442,100-seat,92,358,834,3,3,4,Adv,l51_429,63,55,51,0,10
443,el-Haite,109,358,948,3,1,3,Adv,l47_420,12,12,47,0,2
444,100-seat,92,358,834,3,3,4,Adv,l47_420,18,18,47,0,3
445,"open-minded,",83,358,720,3,10,5,Ele,l47_420,29,29,47,0,5
446,three-square-meter,63,358,492,3,9,1,Ele,l47_420,31,31,47,0,6
447,al-Mamun.,31,358,378,3,9,3,Ele,l47_420,33,33,47,0,6
448,film-makers.,16,358,264,2,8,6,Adv,l57_2095,24,22,57,0,4
449,post-genocide,32,358,378,2,8,6,Adv,l57_2095,24,22,57,0,4
450,film-editing,95,358,834,2,8,6,Adv,l57_2095,24,22,57,0,4
451,51-year-old,64,358,606,2,1,5,Adv,l57_2095,55,51,57,0,9
452,three-square-meter,54,358,492,3,9,1,Ele,l33_515,9,8,33,0,2
453,e-bicycles,65,358,606,3,6,3,Adv,l33_515,24,18,33,0,4
454,French-Canadian,49,358,492,3,7,4,Adv,l33_515,53,42,33,0,8
455,brand-new,19,358,264,3,7,5,Adv,l33_515,54,43,33,0,8
456,"open-minded,",83,358,720,3,10,5,Ele,l33_515,69,55,33,0,10
457,three-square-meter,68,358,606,3,9,1,Adv,l54_516,39,39,54,0,8
458,100sq-meter,43,358,492,2,6,2,Adv,l14_527,21,21,14,0,4
459,honey-flavored,47,358,492,2,8,2,Ele,l14_527,40,40,14,0,8
460,three-square-meter,68,358,606,3,9,1,Adv,l46_2096,3,3,46,0,1
461,Seven-year-old,87,358,834,3,9,3,Adv,l46_2096,5,5,46,0,1
462,film-makers.,16,358,264,2,8,6,Adv,l37_534,37,34,37,0,6
463,post-genocide,32,358,378,2,8,6,Adv,l37_534,37,34,37,0,6
464,film-editing,95,358,834,2,8,6,Adv,l37_534,37,34,37,0,6
465,deep-fried,17,358,264,2,10,2,Adv,l37_534,61,54,37,0,10
466,deep-fried,17,358,264,2,10,2,Adv,l45_543,33,32,45,0,6
467,film-makers.,16,358,264,2,8,6,Adv,l45_543,45,44,45,0,8
468,post-genocide,32,358,378,2,8,6,Adv,l45_543,45,44,45,0,8
469,film-editing,95,358,834,2,8,6,Adv,l45_543,45,44,45,0,8
470,film-makers.,16,358,264,2,8,6,Adv,l55_519,12,8,55,0,1
471,post-genocide,32,358,378,2,8,6,Adv,l55_519,12,8,55,0,1
472,film-editing,95,358,834,2,8,6,Adv,l55_519,12,8,55,0,1
473,deep-fried,17,358,264,2,10,2,Adv,l55_519,53,44,55,0,8
474,"open-minded,",83,358,720,3,10,5,Ele,l59_546,12,12,59,0,2
475,three-square-meter,54,358,492,3,9,1,Ele,l59_546,24,23,59,0,5
476,e-bicycles,65,358,606,3,6,3,Adv,l59_546,41,35,59,0,7
477,French-Canadian,49,358,492,3,7,4,Adv,l59_546,55,48,59,0,9
478,brand-new,19,358,264,3,7,5,Adv,l59_546,56,49,59,0,9
479,100sq-meter,43,358,492,2,6,2,Adv,l48_535,23,19,48,0,4
480,honey-flavored,47,358,492,2,8,2,Ele,l48_535,34,29,48,0,6
481,three-square-meter,68,358,606,3,9,1,Adv,l60_518,37,32,60,0,6
482,top-level,71,358,606,1,8,3,Ele,l12_41,25,18,12,1,3
483,hunter-gatherer,47,358,492,1,6,4,Adv,l12_41,53,43,12,1,8
484,credit-card,35,358,378,1,10,1,Adv,l9_38,25,23,9,1,5
485,south-east,32,358,378,1,1,5,Adv,l9_38,38,34,9,1,6
486,south-east,32,358,378,1,1,5,Adv,l11_40,28,27,11,1,5
487,credit-card,35,358,378,1,10,1,Adv,l11_40,51,50,11,1,10
488,hunter-gatherer,47,358,492,1,6,4,Adv,l10_39,18,16,10,1,3
489,top-level,71,358,606,1,8,3,Ele,l10_39,28,26,10,1,5
490,hunter-gatherer,47,358,492,1,6,4,Adv,l60_198,20,18,60,1,3
491,top-level,71,358,606,1,8,3,Ele,l60_198,69,54,60,1,10
492,top-level,71,358,606,1,8,3,Ele,l48_153,38,30,48,1,5
493,hunter-gatherer,47,358,492,1,6,4,Adv,l48_153,57,45,48,1,8
494,top-level,71,358,606,1,8,3,Ele,l2_65,40,37,2,1,7
495,hunter-gatherer,47,358,492,1,6,4,Adv,l2_65,53,50,2,1,9
496,hunter-gatherer,47,358,492,1,6,4,Adv,l32_63,13,13,32,1,2
497,top-level,71,358,606,1,8,3,Ele,l32_63,49,49,32,1,9
498,credit-card,35,358,378,1,10,1,Adv,l49_154,39,34,49,1,7
499,south-east,32,358,378,1,1,5,Adv,l49_154,50,45,49,1,8
500,south-east,32,358,378,1,1,5,Adv,l47_144,28,18,47,1,3
501,credit-card,35,358,378,1,10,1,Adv,l47_144,37,26,47,1,5
502,credit-card,35,358,378,1,10,1,Adv,l39_122,35,31,39,1,7
503,south-east,32,358,378,1,1,5,Adv,l39_122,46,42,39,1,8
504,hunter-gatherer,47,358,492,1,6,4,Adv,l22_53,12,10,22,1,2
505,top-level,71,358,606,1,8,3,Ele,l22_53,15,13,22,1,3
506,south-east,32,358,378,1,1,5,Adv,l15_45,39,34,15,1,6
507,credit-card,35,358,378,1,10,1,Adv,l15_45,46,41,15,1,8
508,credit-card,35,358,378,1,10,1,Adv,l55_180,8,8,55,1,2
509,south-east,32,358,378,1,1,5,Adv,l55_180,19,19,55,1,3
510,credit-card,35,358,378,1,10,1,Adv,l23_54,18,18,23,1,4
511,south-east,32,358,378,1,1,5,Adv,l23_54,29,29,23,1,5
512,credit-card,35,358,378,1,10,1,Adv,l59_191,3,3,59,1,1
513,south-east,32,358,378,1,1,5,Adv,l59_191,14,14,59,1,2
514,top-level,71,358,606,1,8,3,Ele,l14_43,15,12,14,1,2
515,hunter-gatherer,47,358,492,1,6,4,Adv,l14_43,40,35,14,1,6
516,hunter-gatherer,47,358,492,1,6,4,Adv,l8_76,6,6,8,1,1
517,top-level,71,358,606,1,8,3,Ele,l8_76,54,54,8,1,10
518,credit-card,35,358,378,1,10,1,Adv,l17_48,7,7,17,1,2
519,south-east,32,358,378,1,1,5,Adv,l17_48,55,54,17,1,10
520,top-level,71,358,606,1,8,3,Ele,l30_61,11,11,30,1,2
521,hunter-gatherer,47,358,492,1,6,4,Adv,l30_61,42,38,30,1,7
522,hunter-gatherer,47,358,492,1,6,4,Adv,l4_68,24,23,4,1,4
523,top-level,71,358,606,1,8,3,Ele,l4_68,46,42,4,1,8
524,top-level,71,358,606,1,8,3,Ele,l20_51,13,12,20,1,2
525,hunter-gatherer,47,358,492,1,6,4,Adv,l20_51,62,56,20,1,10
526,south-east,32,358,378,1,1,5,Adv,l7_71,10,7,7,1,1
527,credit-card,35,358,378,1,10,1,Adv,l7_71,51,45,7,1,9
528,credit-card,35,358,378,1,10,1,Adv,l51_158,18,13,51,1,3
529,south-east,32,358,378,1,1,5,Adv,l51_158,37,30,51,1,5
530,south-east,32,358,378,1,1,5,Adv,l5_69,31,28,5,1,5
531,credit-card,35,358,378,1,10,1,Adv,l5_69,38,35,5,1,7
532,credit-card,35,358,378,1,10,1,Adv,l53_166,23,16,53,1,4
533,south-east,32,358,378,1,1,5,Adv,l53_166,73,49,53,1,9
534,hunter-gatherer,47,358,492,1,6,4,Adv,l50_156,14,12,50,1,2
535,top-level,71,358,606,1,8,3,Ele,l50_156,28,26,50,1,5
536,top-level,71,358,606,1,8,3,Ele,l16_46,12,11,16,1,2
537,hunter-gatherer,47,358,492,1,6,4,Adv,l16_46,27,26,16,1,5
538,south-east,32,358,378,1,1,5,Adv,l25_56,12,11,25,1,2
539,credit-card,35,358,378,1,10,1,Adv,l25_56,41,40,25,1,8
540,hunter-gatherer,47,358,492,1,6,4,Adv,l6_70,25,23,6,1,4
541,top-level,71,358,606,1,8,3,Ele,l6_70,42,37,6,1,7
542,hunter-gatherer,47,358,492,1,6,4,Adv,l26_57,31,29,26,1,5
543,top-level,71,358,606,1,8,3,Ele,l26_57,47,45,26,1,8
544,top-level,71,358,606,1,8,3,Ele,l46_141,32,32,46,1,6
545,hunter-gatherer,47,358,492,1,6,4,Adv,l46_141,43,43,46,1,8
546,credit-card,35,358,378,1,10,1,Adv,l35_85,26,26,35,1,6
547,south-east,32,358,378,1,1,5,Adv,l35_85,45,43,35,1,8
548,credit-card,35,358,378,1,10,1,Adv,l27_58,26,23,27,1,5
549,south-east,32,358,378,1,1,5,Adv,l27_58,57,54,27,1,10
550,top-level,71,358,606,1,8,3,Ele,l40_123,11,10,40,1,2
551,hunter-gatherer,47,358,492,1,6,4,Adv,l40_123,46,45,40,1,8
552,hunter-gatherer,47,358,492,1,6,4,Adv,l54_171,46,41,54,1,7
553,top-level,71,358,606,1,8,3,Ele,l54_171,55,50,54,1,9
554,south-east,32,358,378,1,1,5,Adv,l3_66,41,36,3,1,7
555,credit-card,35,358,378,1,10,1,Adv,l3_66,54,44,3,1,9
556,credit-card,35,358,378,1,10,1,Adv,l43_152,24,23,43,1,5
557,south-east,32,358,378,1,1,5,Adv,l43_152,55,54,43,1,10
558,top-level,71,358,606,1,8,3,Ele,l24_55,25,24,24,1,4
559,hunter-gatherer,47,358,492,1,6,4,Adv,l24_55,57,56,24,1,10
560,top-level,71,358,606,1,8,3,Ele,l28_59,26,22,28,1,4
561,hunter-gatherer,47,358,492,1,6,4,Adv,l28_59,32,28,28,1,5
562,south-east,32,358,378,1,1,5,Adv,l37_87,51,47,37,1,9
563,credit-card,35,358,378,1,10,1,Adv,l37_87,55,50,37,1,10
564,hunter-gatherer,47,358,492,1,6,4,Adv,l58_189,43,39,58,1,7
565,top-level,71,358,606,1,8,3,Ele,l58_189,59,54,58,1,10
566,south-east,32,358,378,1,1,5,Adv,l13_42,48,28,13,1,5
567,credit-card,35,358,378,1,10,1,Adv,l13_42,61,41,13,1,8
568,credit-card,35,358,378,1,10,1,Adv,l45_139,31,24,45,1,5
569,south-east,32,358,378,1,1,5,Adv,l45_139,59,50,45,1,9
570,south-east,32,358,378,1,1,5,Adv,l21_52,20,19,21,1,3
571,credit-card,35,358,378,1,10,1,Adv,l21_52,38,36,21,1,7
572,credit-card,35,358,378,1,10,1,Adv,l31_62,8,8,31,1,2
573,south-east,32,358,378,1,1,5,Adv,l31_62,35,34,31,1,6
574,credit-card,35,358,378,1,10,1,Adv,l19_50,12,8,19,1,2
575,south-east,32,358,378,1,1,5,Adv,l19_50,62,50,19,1,9
576,credit-card,35,358,378,1,10,1,Adv,l1_64,3,3,1,1,1
577,south-east,32,358,378,1,1,5,Adv,l1_64,19,19,1,1,3
578,south-east,32,358,378,1,1,5,Adv,l29_60,32,32,29,1,6
579,credit-card,35,358,378,1,10,1,Adv,l29_60,46,45,29,1,9
580,hunter-gatherer,47,358,492,1,6,4,Adv,l52_164,14,12,52,1,2
581,top-level,71,358,606,1,8,3,Ele,l52_164,22,20,52,1,4
582,honey-flavored,47,358,492,2,8,2,Ele,l22_229,28,26,22,1,5
583,100sq-meter,43,358,492,2,6,2,Adv,l22_229,46,43,22,1,8
584,film-makers.,16,358,264,2,8,6,Adv,l3_163,8,8,3,1,1
585,post-genocide,32,358,378,2,8,6,Adv,l3_163,8,8,3,1,1
586,film-editing,95,358,834,2,8,6,Adv,l3_163,8,8,3,1,1
587,deep-fried,17,358,264,2,10,2,Adv,l3_163,42,42,3,1,8
588,honey-flavored,47,358,492,2,8,2,Ele,l20_226,48,42,20,1,8
589,100sq-meter,43,358,492,2,6,2,Adv,l20_226,62,54,20,1,10
590,film-makers.,16,358,264,2,8,6,Adv,l13_206,36,19,13,1,3
591,post-genocide,32,358,378,2,8,6,Adv,l13_206,36,19,13,1,3
592,film-editing,95,358,834,2,8,6,Adv,l13_206,36,19,13,1,3
593,deep-fried,17,358,264,2,10,2,Adv,l13_206,61,37,13,1,7
594,deep-fried,17,358,264,2,10,2,Adv,l1_155,43,42,1,1,8
595,film-makers.,16,358,264,2,8,6,Adv,l1_155,58,56,1,1,10
596,post-genocide,32,358,378,2,8,6,Adv,l1_155,58,56,1,1,10
597,film-editing,95,358,834,2,8,6,Adv,l1_155,58,56,1,1,10
598,film-makers.,16,358,264,2,8,6,Adv,l21_227,22,21,21,1,3
599,post-genocide,32,358,378,2,8,6,Adv,l21_227,22,21,21,1,3
600,film-editing,95,358,834,2,8,6,Adv,l21_227,22,21,21,1,3
601,deep-fried,17,358,264,2,10,2,Adv,l21_227,45,43,21,1,8
602,film-makers.,16,358,264,2,8,6,Adv,l23_235,18,15,23,1,2
603,post-genocide,32,358,378,2,8,6,Adv,l23_235,18,15,23,1,2
604,film-editing,95,358,834,2,8,6,Adv,l23_235,18,15,23,1,2
605,deep-fried,17,358,264,2,10,2,Adv,l23_235,41,38,23,1,7
606,deep-fried,17,358,264,2,10,2,Adv,l15_214,15,10,15,1,2
607,film-makers.,16,358,264,2,8,6,Adv,l15_214,53,43,15,1,8
608,post-genocide,32,358,378,2,8,6,Adv,l15_214,53,43,15,1,8
609,film-editing,95,358,834,2,8,6,Adv,l15_214,53,43,15,1,8
610,film-makers.,16,358,264,2,8,6,Adv,l33_258,43,42,33,1,7
611,post-genocide,32,358,378,2,8,6,Adv,l33_258,43,42,33,1,7
612,film-editing,95,358,834,2,8,6,Adv,l33_258,43,42,33,1,7
613,deep-fried,17,358,264,2,10,2,Adv,l33_258,55,54,33,1,10
614,deep-fried,17,358,264,2,10,2,Adv,l9_195,35,27,9,1,5
615,film-makers.,16,358,264,2,8,6,Adv,l9_195,65,56,9,1,10
616,post-genocide,32,358,378,2,8,6,Adv,l9_195,65,56,9,1,10
617,film-editing,95,358,834,2,8,6,Adv,l9_195,65,56,9,1,10
618,100sq-meter,43,358,492,2,6,2,Adv,l16_215,11,8,16,1,2
619,honey-flavored,47,358,492,2,8,2,Ele,l16_215,15,12,16,1,3
620,film-makers.,16,358,264,2,8,6,Adv,l29_247,13,12,29,1,2
621,post-genocide,32,358,378,2,8,6,Adv,l29_247,13,12,29,1,2
622,film-editing,95,358,834,2,8,6,Adv,l29_247,13,12,29,1,2
623,deep-fried,17,358,264,2,10,2,Adv,l29_247,57,47,29,1,9
624,deep-fried,17,358,264,2,10,2,Adv,l7_183,11,10,7,1,2
625,film-makers.,16,358,264,2,8,6,Adv,l7_183,31,30,7,1,5
626,post-genocide,32,358,378,2,8,6,Adv,l7_183,31,30,7,1,5
627,film-editing,95,358,834,2,8,6,Adv,l7_183,31,30,7,1,5
628,honey-flavored,47,358,492,2,8,2,Ele,l6_176,9,8,6,1,2
629,100sq-meter,43,358,492,2,6,2,Adv,l6_176,37,36,6,1,7
630,100sq-meter,43,358,492,2,6,2,Adv,l14_212,25,21,14,1,4
631,honey-flavored,47,358,492,2,8,2,Ele,l14_212,46,40,14,1,8
632,film-makers.,16,358,264,2,8,6,Adv,l31_251,8,8,31,1,1
633,post-genocide,32,358,378,2,8,6,Adv,l31_251,8,8,31,1,1
634,film-editing,95,358,834,2,8,6,Adv,l31_251,8,8,31,1,1
635,deep-fried,17,358,264,2,10,2,Adv,l31_251,10,10,31,1,2
636,honey-flavored,47,358,492,2,8,2,Ele,l4_169,42,40,4,1,7
637,100sq-meter,43,358,492,2,6,2,Adv,l4_169,48,46,4,1,8
638,100sq-meter,43,358,492,2,6,2,Adv,l30_249,13,10,30,1,2
639,honey-flavored,47,358,492,2,8,2,Ele,l30_249,33,25,30,1,5
640,deep-fried,17,358,264,2,10,2,Adv,l19_225,19,19,19,1,4
641,film-makers.,16,358,264,2,8,6,Adv,l19_225,42,40,19,1,7
642,post-genocide,32,358,378,2,8,6,Adv,l19_225,42,40,19,1,7
643,film-editing,95,358,834,2,8,6,Adv,l19_225,42,40,19,1,7
644,honey-flavored,47,358,492,2,8,2,Ele,l18_222,18,14,18,1,3
645,100sq-meter,43,358,492,2,6,2,Adv,l18_222,51,41,18,1,8
646,100sq-meter,43,358,492,2,6,2,Adv,l8_185,4,4,8,1,1
647,honey-flavored,47,358,492,2,8,2,Ele,l8_185,56,52,8,1,10
648,honey-flavored,47,358,492,2,8,2,Ele,l2_160,6,4,2,1,1
649,100sq-meter,43,358,492,2,6,2,Adv,l2_160,53,48,2,1,9
650,honey-flavored,47,358,492,2,8,2,Ele,l12_204,18,16,12,1,3
651,100sq-meter,43,358,492,2,6,2,Adv,l12_204,24,22,12,1,4
652,honey-flavored,47,358,492,2,8,2,Ele,l24_236,17,14,24,1,3
653,100sq-meter,43,358,492,2,6,2,Adv,l24_236,75,54,24,1,10
654,100sq-meter,43,358,492,2,6,2,Adv,l32_255,14,14,32,1,3
655,honey-flavored,47,358,492,2,8,2,Ele,l32_255,24,24,32,1,5
656,film-makers.,16,358,264,2,8,6,Adv,l25_238,36,33,25,1,6
657,post-genocide,32,358,378,2,8,6,Adv,l25_238,36,33,25,1,6
658,film-editing,95,358,834,2,8,6,Adv,l25_238,36,33,25,1,6
659,deep-fried,17,358,264,2,10,2,Adv,l25_238,46,42,25,1,8
660,deep-fried,17,358,264,2,10,2,Adv,l5_175,7,4,5,1,1
661,film-makers.,16,358,264,2,8,6,Adv,l5_175,30,24,5,1,4
662,post-genocide,32,358,378,2,8,6,Adv,l5_175,30,24,5,1,4
663,film-editing,95,358,834,2,8,6,Adv,l5_175,30,24,5,1,4
664,honey-flavored,47,358,492,2,8,2,Ele,l26_239,7,4,26,1,1
665,100sq-meter,43,358,492,2,6,2,Adv,l26_239,14,10,26,1,2
666,100sq-meter,43,358,492,2,6,2,Adv,l28_242,4,4,28,1,1
667,honey-flavored,47,358,492,2,8,2,Ele,l28_242,17,17,28,1,4
668,e-bicycles,65,358,606,3,6,3,Adv,l1_321,15,15,1,1,3
669,three-square-meter,54,358,492,3,9,1,Ele,l1_321,20,20,1,1,4
670,French-Canadian,49,358,492,3,7,4,Adv,l1_321,27,27,1,1,5
671,brand-new,19,358,264,3,7,5,Adv,l1_321,28,28,1,1,5
672,"open-minded,",83,358,720,3,10,5,Ele,l1_321,38,35,1,1,6
673,three-square-meter,68,358,606,3,9,1,Adv,l4_326,3,3,4,1,1
674,French-Canadian,49,358,492,3,7,4,Adv,l3_325,7,6,3,1,1
675,brand-new,19,358,264,3,7,5,Adv,l3_325,9,7,3,1,1
676,e-bicycles,65,358,606,3,6,3,Adv,l3_325,15,12,3,1,2
677,three-square-meter,54,358,492,3,9,1,Ele,l3_325,48,37,3,1,7
678,"open-minded,",83,358,720,3,10,5,Ele,l3_325,59,45,3,1,8
679,three-square-meter,68,358,606,3,9,1,Adv,l2_323,63,53,2,1,10
680,deep-fried,17,358,264,2,10,2,Adv,l41_295,16,16,41,1,3
681,film-makers.,16,358,264,2,8,6,Adv,l41_295,29,28,41,1,5
682,post-genocide,32,358,378,2,8,6,Adv,l41_295,29,28,41,1,5
683,film-editing,95,358,834,2,8,6,Adv,l41_295,29,28,41,1,5
684,deep-fried,17,358,264,2,10,2,Adv,l47_313,29,27,47,1,5
685,film-makers.,16,358,264,2,8,6,Adv,l47_313,43,41,47,1,7
686,post-genocide,32,358,378,2,8,6,Adv,l47_313,43,41,47,1,7
687,film-editing,95,358,834,2,8,6,Adv,l47_313,43,41,47,1,7
688,honey-flavored,47,358,492,2,8,2,Ele,l40_294,20,18,40,1,4
689,100sq-meter,43,358,492,2,6,2,Adv,l40_294,49,42,40,1,8
690,film-makers.,16,358,264,2,8,6,Adv,l37_273,35,34,37,1,6
691,post-genocide,32,358,378,2,8,6,Adv,l37_273,35,34,37,1,6
692,film-editing,95,358,834,2,8,6,Adv,l37_273,35,34,37,1,6
693,deep-fried,17,358,264,2,10,2,Adv,l37_273,55,54,37,1,10
694,honey-flavored,47,358,492,2,8,2,Ele,l38_285,4,4,38,1,1
695,100sq-meter,43,358,492,2,6,2,Adv,l38_285,27,20,38,1,4
696,deep-fried,17,358,264,2,10,2,Adv,l45_306,40,32,45,1,6
697,film-makers.,16,358,264,2,8,6,Adv,l45_306,59,44,45,1,8
698,post-genocide,32,358,378,2,8,6,Adv,l45_306,59,44,45,1,8
699,film-editing,95,358,834,2,8,6,Adv,l45_306,59,44,45,1,8
700,100sq-meter,43,358,492,2,6,2,Adv,l42_297,6,4,42,1,1
701,honey-flavored,47,358,492,2,8,2,Ele,l42_297,16,14,42,1,3
702,honey-flavored,47,358,492,2,8,2,Ele,l46_311,22,21,46,1,4
703,100sq-meter,43,358,492,2,6,2,Adv,l46_311,47,43,46,1,8
704,film-makers.,16,358,264,2,8,6,Adv,l27_270,8,8,27,1,1
705,post-genocide,32,358,378,2,8,6,Adv,l27_270,8,8,27,1,1
706,film-editing,95,358,834,2,8,6,Adv,l27_270,8,8,27,1,1
707,deep-fried,17,358,264,2,10,2,Adv,l27_270,40,37,27,1,7
708,deep-fried,17,358,264,2,10,2,Adv,l43_302,8,8,43,1,2
709,film-makers.,16,358,264,2,8,6,Adv,l43_302,16,16,43,1,3
710,post-genocide,32,358,378,2,8,6,Adv,l43_302,16,16,43,1,3
